Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,579092623,7429.4646807665595,6289060,80.68545046069725,894309,6407556,82.20569404841797,14743,0.18914521345671045,2113,
United States of America,Americas,90706508,27403.559,902217,272.571,143467,1021995,308.757,2972,0.898,640
India,South-East Asia,44107588,3196.192,127858,9.265,20551,526600,38.159,342,0.025,70
Brazil,Americas,33924061,15959.801,219668,103.344,33633,679275,319.569,1471,0.692,265
France,Europe,33009294,50752.797,241155,370.783,33799,149003,229.097,541,0.832,87
Germany,Europe,31178705,37489.405,359887,432.73,41487,144717,174.008,107,0.129,7
The United Kingdom,Europe,23369355,34424.408,45032,66.335,0,185052,272.592,417,0.614,0
Italy,Europe,21213559,35568.46,315500,528.994,42959,172729,289.612,1091,1.829,161
Republic of Korea,Western Pacific,20273011,39542.292,652494,1272.683,112901,25191,49.135,199,0.388,47
Russian Federation,Europe,18672422,12795.074,95449,65.405,18555,382651,262.207,299,0.205,47
Türkiye,Europe,15889495,18840.018,0,0,0,99341,117.788,0,0,0
Japan,Western Pacific,13598290,10751.637,1480178,1170.319,253392,33159,26.218,873,0.69,183
Spain,Europe,13245996,27984.924,45435,95.991,0,110713,233.904,598,1.263,0
Viet Nam,Western Pacific,10785122,11080.008,12142,12.474,0,43094,44.272,2,0.002,0
Argentina,Americas,9560307,21153.099,52745,116.703,0,129369,286.241,91,0.201,0
Australia,Western Pacific,9554380,37468.327,274370,1075.966,37393,12119,47.526,607,2.38,93
Netherlands,Europe,8347295,47952.057,19229,110.463,2438,22510,129.311,23,0.132,4
Iran (Islamic Republic of),Eastern Mediterranean,7418615,8832.426,49670,59.136,0,142209,169.311,372,0.443,0
Mexico,Americas,6803190,5276.541,62277,48.302,20210,328006,254.401,351,0.272,123
Colombia,Americas,6265798,12314.155,18164,35.698,0,140845,276.802,242,0.476,0
Indonesia,South-East Asia,6229315,2277.432,31820,11.633,0,157060,57.421,90,0.033,0
Poland,Europe,6089166,16041.793,23834,62.79,4290,116645,307.299,89,0.234,17
China,Western Pacific,5733705,389.707,166192,11.296,25115,23841,1.62,340,0.023,59
Portugal,Europe,5355526,52016.058,20810,202.119,3182,24660,239.513,64,0.622,11
Ukraine,Europe,5026496,11493.4,2786,6.37,0,108727,248.611,14,0.032,0
Austria,Europe,4821763,54170.636,47303,531.431,6361,20411,229.31,73,0.82,9
Malaysia,Western Pacific,4697213,14512.801,29074,89.829,4413,36003,111.237,57,0.176,8
Thailand,South-East Asia,4600978,6591.661,14428,20.67,2253,31526,45.166,199,0.285,34
Israel,Europe,4596833,53108.558,22756,262.907,2797,11430,132.054,41,0.474,0
Greece,Europe,4474616,41746.409,122230,1140.358,0,31377,292.735,355,3.312,0
Belgium,Europe,4437299,38510.064,17868,155.071,9,32296,280.288,59,0.512,2
Chile,Americas,4274613,22361.206,59844,313.054,11697,59698,312.29,221,1.156,65
Canada,Americas,4056133,10746.957,32893,87.152,0,42681,113.086,253,0.67,0
South Africa,Africa,4004555,6752.054,354,0.597,0,101982,171.951,5,0.008,0
Czechia,Europe,3996433,37371.01,15094,141.145,2149,40544,379.131,82,0.767,5
Switzerland,Europe,3953878,45685.182,8274,95.602,0,13449,155.397,6,0.069,0
Peru,Americas,3932838,11927.864,59136,179.353,9094,214431,650.346,311,0.943,24
Philippines,Western Pacific,3790309,3458.908,25963,23.693,4439,60773,55.459,69,0.063,11
Denmark,Europe,3239092,55628.093,10801,185.496,1686,6700,115.066,72,1.237,13
Romania,Europe,3098268,16029.251,55063,284.875,8617,66117,342.064,182,0.942,27
Sweden,Europe,2545671,24649.228,5969,57.797,1207,19433,188.166,22,0.213,0
Iraq,Eastern Mediterranean,2448484,6087.35,8070,20.063,0,25321,62.952,13,0.032,0
Serbia,Europe,2148615,31019.294,41465,598.625,6467,16319,235.595,66,0.953,6
Bangladesh,South-East Asia,2006646,1218.443,2103,1.277,0,29300,17.791,15,0.009,0
Hungary,Europe,1987321,20342.041,21840,223.552,0,46886,479.921,96,0.983,0
Slovakia,Europe,1821908,33381.282,5787,106.03,947,20248,370.987,32,0.586,6
Singapore,Western Pacific,1742874,29790.976,48420,827.644,6648,1531,26.169,39,0.667,3
Jordan,Eastern Mediterranean,1715296,16811.462,5417,53.092,0,14083,138.026,9,0.088,0
